gene_symbol,ensembl_id,token_id
ENSG00000285889,ENSG00000285889,58181
ENSG00000285890,ENSG00000285890,58182
MSANTD5,ENSG00000285891,58183
ENSG00000285892,ENSG00000285892,58184
ENSG00000285894,ENSG00000285894,58185
ENSG00000285895,ENSG00000285895,58186
ENSG00000285896,ENSG00000285896,58187
ENSG00000285897,ENSG00000285897,58188
ENSG00000285898,ENSG00000285898,58189
ENSG00000285899,ENSG00000285899,58190
ENSG00000285900,ENSG00000285900,58191
ENSG00000285901,ENSG00000285901,58192
ENSG00000285902,ENSG00000285902,58193
ENSG00000285904,ENSG00000285904,58194
BMP8B-AS1,ENSG00000285905,58195
ENSG00000285906,ENSG00000285906,58196
ENSG00000285907,ENSG00000285907,58197
ENSG00000285908,ENSG00000285908,58198
ENSG00000285909,ENSG00000285909,58199
ENSG00000285910,ENSG00000285910,58200
ENSG00000285911,ENSG00000285911,58201
5S_rRNA-8,ENSG00000285912,58202
FAM90A18,ENSG00000285913,58203
ENSG00000285914,ENSG00000285914,58204
ENSG00000285915,ENSG00000285915,58205
ENSG00000285917,ENSG00000285917,58206
ENSG00000285918,ENSG00000285918,58207
ENSG00000285919,ENSG00000285919,58208
ENSG00000285920,ENSG00000285920,58209
ENSG00000285921,ENSG00000285921,58210
ENSG00000285922,ENSG00000285922,58211
ENSG00000285923,ENSG00000285923,58212
ENSG00000285925,ENSG00000285925,58213
ENSG00000285926,ENSG00000285926,58214
ENSG00000285927,ENSG00000285927,58215
ENSG00000285928,ENSG00000285928,58216
ENSG00000285929,ENSG00000285929,58217
ENSG00000285930,ENSG00000285930,58218
ENSG00000285931,ENSG00000285931,58219
ENSG00000285932,ENSG00000285932,58220
ENSG00000285933,ENSG00000285933,58221
ENSG00000285934,ENSG00000285934,58222
ENSG00000285935,ENSG00000285935,58223
ENSG00000285936,ENSG00000285936,58224
FAM90A8,ENSG00000285937,58225
ENSG00000285938,ENSG00000285938,58226
ENSG00000285939,ENSG00000285939,58227
ENSG00000285940,ENSG00000285940,58228
ENSG00000285941,ENSG00000285941,58229
ENSG00000285942,ENSG00000285942,58230
ENSG00000285943,ENSG00000285943,58231
H2AL1MP,ENSG00000285944,58232
ENSG00000285945,ENSG00000285945,58233
LCE7A,ENSG00000285946,58234
ENSG00000285947,ENSG00000285947,58235
ENSG00000285948,ENSG00000285948,58236
FAM90A10,ENSG00000285950,58237
ENSG00000285952,ENSG00000285952,58238
ENSG00000285953,ENSG00000285953,58239
ENSG00000285954,ENSG00000285954,58240
ENSG00000285955,ENSG00000285955,58241
ENSG00000285957,ENSG00000285957,58242
ENSG00000285958,ENSG00000285958,58243
ENSG00000285959,ENSG00000285959,58244
ENSG00000285960,ENSG00000285960,58245
